id,mass (g),reclat,reclong
18005,783.0,-31.16667,127.75
18006,76.9,-31.35,127.51667
55545,1780.0,-31.45278,127.8905
18010,150.0,-33.0,121.0
18017,1403.0,-30.75,131.16667
54931,4.6,-30.99311,131.33253
54932,11.1,-30.98622,131.33211
54933,19.0,-30.62472,131.47064
54934,0.7,-30.65364,131.47389
54935,2.3,-30.657,131.47814
54936,24.3,-30.69047,131.47353
54937,3.4,-30.75806,131.44803
54938,8.4,-30.93383,131.36169
54939,52.9,-30.93417,131.36111
54940,33.6,-30.89344,131.39
54941,14.1,-30.89281,131.39142
54942,7.3,-30.88561,131.38197
54943,9.4,-30.88517,131.38011
54944,63.9,-30.53842,131.25525
54945,17.5,-30.54019,131.25508
54946,4.9,-30.54478,131.25928
54947,105.2,-30.98789,131.34067
54948,786.3,-30.98036,131.34456
56643,13.0,-30.57269,131.48094
54925,587.4,-30.54603,131.9705
18022,85.4,-32.12333,141.07972
18097,13.6,-32.04167,126.18333
18787,12.7,-29.11667,122.08333
18805,4300.0,-34.78333,144.66667
18821,690.0,-35.90667,141.855
18825,200.4,-30.41667,138.0
55547,1213.0,-33.58316,118.65662
18827,39400.0,-35.38333,140.91667
55548,218.57,-26.26167,120.73333
18852,277.0,-25.78333,137.93333
18867,875.0,-29.83167,136.85867
18868,76.0,-27.76667,137.85
18885,83.0,-30.46667,125.46667
55719,124.6,-30.68833,125.51333
47700,2768.0,-29.35,121.76667
22365,1638.0,-30.15,140.98333
22367,295.0,-20.36667,130.11667
22374,1553.0,-35.90667,141.855
22399,74.0,-31.16667,125.26667
22400,240.0,-30.36667,126.08333
22551,8740.0,-30.71667,116.5
22556,144.1,-30.06667,128.98333
22557,66.5,-30.06667,128.96667
22558,128.7,-30.06667,128.96667
22559,295.0,-30.25,128.8
22560,42.8,-30.15,128.8
22561,920.0,-30.6,128.48333
22562,2050.0,-30.65,128.40833
22563,221.0,-30.08333,128.81667
22564,47.8,-30.31667,128.985
22565,8220.0,-30.32167,128.85
22566,4760.0,-30.21667,128.3
22567,1367.0,-30.5,128.5
22568,330.0,-30.08333,128.91667
22569,125.0,-30.08333,128.83333
22570,23.5,-30.28667,128.635
22571,110.0,-30.16667,129.0
22572,110.0,-30.16667,128.91667
22573,121.0,-30.08333,128.91667
22574,56.0,-30.51733,128.47617
22575,32.0,-30.51667,128.45833
22576,20.0,-30.06783,128.98483
22577,188.0,-30.30283,128.52617
22578,59.0,-30.30083,128.5255
22579,96.0,-30.31833,128.38333
22580,21.4,-30.28667,128.57333
22581,100.6,-30.24833,128.63528
22582,19.7,-30.31806,128.37333
22583,30.6,-30.12367,128.8495
22594,3325.0,-34.66667,139.28333
22612,190.5,-30.36667,126.01667
22644,86860.0,-22.33333,118.0
22763,6400.0,-15.0,135.0
22772,34700.0,-29.8,148.63333
23475,429.0,-30.58333,125.21667
23600,350.7,-31.88333,141.2
23627,1250.0,-30.25,126.33333
23628,39.5,-30.48333,126.25
23629,322.0,-30.3,126.03333
23630,115.0,-30.36667,126.18333
23631,129.0,-30.17367,126.29233
23632,6.04,-30.16667,126.40433
23633,60.39,-30.16,126.38667
23634,16.37,-30.2,126.5
23635,145.3,-30.16283,126.40833
23636,9.63,-30.15,126.42833
23637,15.06,-30.16333,126.4085
23638,117.3,-30.16867,126.28717
23639,87.4,-30.12417,126.4515
23640,66.0,-30.18333,126.36667
23641,3.5,-30.0275,126.27017
23642,173.8,-30.03183,126.27283
23643,173.8,-30.01283,126.25783
50973,14.24,-30.10233,126.3515
50995,11.5,-30.10517,126.35
50996,18.6,-30.1135,126.25117
50983,25.6,-30.11833,126.24767
50984,63.5,-30.1065,126.26267
50985,72.3,-30.10867,126.26033
50986,30.3,-30.1055,126.2555
55399,192.0,-30.17917,126.40056
55400,150.0,-30.17361,126.43444
55401,10.85,-30.16028,126.34833
23656,66.0,-31.1,138.26667
23714,12000.0,-30.46667,141.08333
55551,2700.0,-23.25556,116.90083
23731,909.0,-32.86667,134.28333
23775,3100.0,-34.05,145.83333
23889,75750.0,-15.7,135.66667
23907,438.6,-32.11667,141.08333
23972,76.59999999999998,-33.61667,115.91667
23978,62100.0,-25.7,143.05
23981,101.5,-31.58333,127.6
23982,3.8,-31.56667,127.8
23986,18.6,-29.43333,142.01667
23987,41700.0,-26.33333,118.33333
24027,157.0,-27.86667,141.73333
24084,218.0,-35.48333,142.6
24107,271.8,-29.96667,120.6
24155,300.0,-22.96833,125.36861
24184,430.0,-35.01667,139.91667
24186,191.5,-32.06667,125.15
24207,4386.0,-20.66667,118.83333
24212,56930.0,-26.28333,126.66667
